source_fragment_id,source_document_id,fragment_type,fragment_order,text_excerpt,normalized_text,selector_hint,notes
SF0168,SD0081,title,1,Valorizzazione del Patrimonio Culturale Materiale e Immateriale | UniBG,valorizzazione del patrimonio culturale materiale e immateriale unibg,//title,raw snapshot title
SF0169,SD0081,h1,2,Menu top,menu top,//h1[1],raw snapshot first h1
SF0170,SD0082,title,1,UniTrento,unitrento,//title,raw snapshot title
SF0171,SD0082,meta_description,2,"Unitn - Università di Trento - Ateneo di eccellenza per i suoi corsi di laurea, dottorati e master. Ricerca internazionale e innovazione. Campus moderni nel cuore delle Alpi","unitn - università di trento - ateneo di eccellenza per i suoi corsi di laurea, dottorati e master. ricerca internazionale e innovazione. campus moderni nel cuore delle alpi",//meta[@name='description'],raw snapshot meta description
SF0172,SD0082,h1,3,Home Page,home page,//h1[1],raw snapshot first h1
SF0173,SD0083,title,1,Corsi | UniTrento,corsi unitrento,//title,raw snapshot title
SF0174,SD0083,meta_description,2,"Lauree, lauree magistrali e a ciclo unico, master, dottorati e scuole di specializzazione. Scopri l'offerta formativa dell'Università di Trento - Unitn","lauree, lauree magistrali e a ciclo unico, master, dottorati e scuole di specializzazione. scopri l'offerta formativa dell'università di trento - unitn",//meta[@name='description'],raw snapshot meta description
SF0175,SD0083,h1,3,Corsi,corsi,//h1[1],raw snapshot first h1
SF0176,SD0084,title,1,Beni culturali | UniTrento,beni culturali unitrento,//title,raw snapshot title
SF0177,SD0084,h1,2,Beni culturali,beni culturali,//h1[1],raw snapshot first h1
SF0178,SD0085,title,1,"Organizzazione, società e tecnologia | UniTrento","organizzazione, società e tecnologia unitrento",//title,raw snapshot title
SF0179,SD0085,h1,2,"Organizzazione, società e tecnologia","organizzazione, società e tecnologia",//h1[1],raw snapshot first h1
SF0180,SD0086,title,1,Giurisprudenza | UniTrento,giurisprudenza unitrento,//title,raw snapshot title
SF0181,SD0086,h1,2,Giurisprudenza,giurisprudenza,//h1[1],raw snapshot first h1
SF0182,SD0087,title,1,Offerta formativa - Unina,offerta formativa - unina,//title,raw snapshot title
SF0183,SD0087,meta_description,2,pattern library e styleguide per Unina,pattern library e styleguide per unina,//meta[@name='description'],raw snapshot meta description
SF0184,SD0087,h1,3,Didattica,didattica,//h1[1],raw snapshot first h1
SF0185,SD0090,title,1,STRATEGIE DI COMUNICAZIONE | Università di Padova,strategie di comunicazione università di padova,//title,raw snapshot title
SF0186,SD0090,h1,2,STRATEGIE DI COMUNICAZIONE,strategie di comunicazione,//h1[1],raw snapshot first h1
SF0187,SD0091,title,1,[D615] STRATEGIE E TECNICHE DELLA COMUNICAZIONE | Università degli Studi di Siena,d615 strategie e tecniche della comunicazione università degli studi di siena,//title,raw snapshot title
SF0188,SD0091,h1,2,[D615] STRATEGIE E TECNICHE DELLA COMUNICAZIONE,d615 strategie e tecniche della comunicazione,//h1[1],raw snapshot first h1
SF0189,SD0092,title,1,Semiotica - Laurea Magistrale - Bologna,semiotica - laurea magistrale - bologna,,historical LM-92 pilot fragment
SF0190,SD0092,heading,2,home page,home page,,historical LM-92 pilot fragment
SF0191,SD0092,heading,3,All’origine del senso,all’origine del senso,,historical LM-92 pilot fragment
SF0192,SD0092,heading,4,Cosa ti serve oggi,cosa ti serve oggi,,historical LM-92 pilot fragment
SF0193,SD0092,heading,5,Cosa devi sapere,cosa devi sapere,,historical LM-92 pilot fragment
SF0194,SD0092,heading,6,Driving Innovation Hackathon 2026,driving innovation hackathon 2026,,historical LM-92 pilot fragment
SF0195,SD0092,heading,7,Percorsi formativi Progetto Manager Lab,percorsi formativi progetto manager lab,,historical LM-92 pilot fragment
SF0196,SD0092,heading,8,Test di idoneità linguistica per Erasmus+ tirocinio,test di idoneita linguistica per erasmus+ tirocinio,,historical LM-92 pilot fragment
SF0197,SD0092,heading,9,Call for Players,call for players,,historical LM-92 pilot fragment
SF0198,SD0092,heading,10,ICONE del DESIGN: Workshop di modellazione e stampa 3D,icone del design: workshop di modellazione e stampa 3d,,historical LM-92 pilot fragment
SF0199,SD0092,heading,11,Jornada de Puertas Abiertas Virtual,jornada de puertas abiertas virtual,,historical LM-92 pilot fragment
SF0200,SD0092,heading,12,Incontra il corso,incontra il corso,,historical LM-92 pilot fragment
SF0201,SD0094,title,1,"Comunicazione, Media, Tecnologie • Dipartimento di Civiltà e Forme del Sapere","comunicazione, media, tecnologie • dipartimento di civilta e forme del sapere",,historical LM-92 pilot fragment
SF0202,SD0094,heading,2,"Comunicazione, Media, Tecnologie","comunicazione, media, tecnologie",,historical LM-92 pilot fragment
SF0203,SD0094,heading,3,News,news,,historical LM-92 pilot fragment
SF0204,SD0094,heading,4,Eventi,eventi,,historical LM-92 pilot fragment
SF0205,SD0094,paragraph,5,"Con la laurea magistrale in Comunicazione Media e Tecnologie, impari a conoscere e gestire le trasformazioni legate al digitale nei media . Il corso offre conoscenze specialistiche sulle diverse forme di comunicazione in rapporto alle nuove tecnologie, in particolare all’Intelligenza Artificiale e ai media visuali. Si articola in due percorsi a scelta:","con la laurea magistrale in comunicazione media e tecnologie, impari a conoscere e gestire le trasformazioni legate al digitale nei media . il corso offre conoscenze specialistiche sulle diverse forme di comunicazione in rapporto alle nuove tecnologie, in particolare all’intelligenza artificiale e ai media visuali. si articola in due percorsi a scelta:",,historical LM-92 pilot fragment
SF0206,SD0094,paragraph,6,Il corso appartiene alla classe di laurea magistrale LM-92 (Teorie della Comunicazione).,il corso appartiene alla classe di laurea magistrale lm-92 (teorie della comunicazione).,,historical LM-92 pilot fragment
SF0207,SD0094,paragraph,7,Leggi la presentazione completa,leggi la presentazione completa,,historical LM-92 pilot fragment
SF0208,SD0094,paragraph,8,Guarda il video,guarda il video,,historical LM-92 pilot fragment
SF0209,SD0094,paragraph,9,"Ad aprile 2026, nell'ambito del progetto speciale per la didattica ""Immagini dal presente futuro"" a cura di Elena Marcheschi, si tiene un ciclo di tre seminari su arte, multimedialità e cultura visuale con Denis Brotto, Andrea Gatopoulos e Giorgio Andreotta Calò. Aula G3, Polo Guidotti. Ingresso libero.…","ad aprile 2026, nell'ambito del progetto speciale per la didattica ""immagini dal presente futuro"" a cura di elena marcheschi, si tiene un ciclo di tre seminari su arte, multimedialita e cultura visuale con denis brotto, andrea gatopoulos e giorgio andreotta calo. aula g3, polo guidotti. ingresso libero....",,historical LM-92 pilot fragment
SF0210,SD0094,paragraph,10,Leggi tutto...,leggi tutto...,,historical LM-92 pilot fragment
SF0211,SD0094,paragraph,11,"La Compagnia IF Prana cerca stagiste e stagisti per l’edizione 2026 di InForme Festival, rassegna di teatro, danza e arti…","la compagnia if prana cerca stagiste e stagisti per l’edizione 2026 di informe festival, rassegna di teatro, danza e arti...",,historical LM-92 pilot fragment
SF0212,SD0094,paragraph,12,Leggi tutto...,leggi tutto...,,historical LM-92 pilot fragment
SF0213,SD0094,paragraph,13,"Sono disponibili 100 borse di soggiorno per partecipare al Link Media Festival Academy 2026 a Trieste (10-12 aprile), uno dei principali festival del giornalismo in Italia.…","sono disponibili 100 borse di soggiorno per partecipare al link media festival academy 2026 a trieste (10-12 aprile), uno dei principali festival del giornalismo in italia....",,historical LM-92 pilot fragment
SF0214,SD0094,paragraph,14,Leggi tutto...,leggi tutto...,,historical LM-92 pilot fragment
SF0215,SD0094,paragraph,15,Il Centro Interdisciplinare Scienze per la Pace (CISP) dell’Università di Pisa offre un’opportunità di tirocinio curriculare con Scienza & Pace…,il centro interdisciplinare scienze per la pace (cisp) dell’universita di pisa offre un’opportunita di tirocinio curriculare con scienza & pace...,,historical LM-92 pilot fragment
SF0216,SD0094,paragraph,16,Leggi tutto...,leggi tutto...,,historical LM-92 pilot fragment
SF0217,SD0094,paragraph,17,"L’archivio regionale dei film amatoriali di famiglia 8mmezzo, con sede a Livorno, cerca un tirocinante o una tirocinante da inserire…","l’archivio regionale dei film amatoriali di famiglia 8mmezzo, con sede a livorno, cerca un tirocinante o una tirocinante da inserire...",,historical LM-92 pilot fragment
SF0218,SD0094,paragraph,18,Leggi tutto...,leggi tutto...,,historical LM-92 pilot fragment
SF0219,SD0094,paragraph,19,"Il 10 febbraio 2026 si sono laureate le prime quattro studentesse del corso di Laurea Magistrale in Comunicazione, Media, Tecnologie con tesi su tesi su AI e accessibilità, deepfake, teatro digitale e giornalismo culturale…","il 10 febbraio 2026 si sono laureate le prime quattro studentesse del corso di laurea magistrale in comunicazione, media, tecnologie con tesi su tesi su ai e accessibilita, deepfake, teatro digitale e giornalismo culturale...",,historical LM-92 pilot fragment
SF0220,SD0094,paragraph,20,Leggi tutto...,leggi tutto...,,historical LM-92 pilot fragment
SF0221,SD0095,title,1,"Corso di Laurea Magistrale in Pratiche, linguaggi e culture della comunicazione - UniFI","corso di laurea magistrale in pratiche, linguaggi e culture della comunicazione - unifi",,historical LM-92 pilot fragment
SF0222,SD0095,heading,2,"Corso di Laurea Magistrale in Pratiche, linguaggi e culture della comunicazione","corso di laurea magistrale in pratiche, linguaggi e culture della comunicazione",,historical LM-92 pilot fragment
SF0223,SD0095,paragraph,3,Facebook Twitter YouTube Behance issuu Instagram linkedin,facebook twitter youtube behance issuu instagram linkedin,,historical LM-92 pilot fragment
SF0224,SD0095,list_item,4,Corso di studio Presentazione del Corso Sedi e strutture Norme e regolamenti Organizzazione Per iscriversi Per laurearsi Proseguire dopo la laurea Qualità del Corso Area riservata Segnalazioni e reclami,corso di studio presentazione del corso sedi e strutture norme e regolamenti organizzazione per iscriversi per laurearsi proseguire dopo la laurea qualita del corso area riservata segnalazioni e reclami,,historical LM-92 pilot fragment
SF0225,SD0095,list_item,5,Presentazione del Corso,presentazione del corso,,historical LM-92 pilot fragment
SF0226,SD0095,list_item,6,Sedi e strutture,sedi e strutture,,historical LM-92 pilot fragment
SF0227,SD0095,list_item,7,Norme e regolamenti,norme e regolamenti,,historical LM-92 pilot fragment
SF0228,SD0095,list_item,8,Organizzazione,organizzazione,,historical LM-92 pilot fragment
SF0229,SD0095,list_item,9,Per iscriversi,per iscriversi,,historical LM-92 pilot fragment
SF0230,SD0095,list_item,10,Per laurearsi,per laurearsi,,historical LM-92 pilot fragment
SF0231,SD0095,list_item,11,Proseguire dopo la laurea,proseguire dopo la laurea,,historical LM-92 pilot fragment
SF0232,SD0095,list_item,12,Qualità del Corso,qualita del corso,,historical LM-92 pilot fragment
SF0233,SD0095,list_item,13,Area riservata,area riservata,,historical LM-92 pilot fragment
SF0234,SD0095,list_item,14,Segnalazioni e reclami,segnalazioni e reclami,,historical LM-92 pilot fragment
SF0235,SD0095,list_item,15,Didattica Piani di studio Insegnamenti Commissioni d'esame Conoscenza di altre lingue Conoscenze informatiche Orientamento Stage/Tirocinio Mobilità internazionale,didattica piani di studio insegnamenti commissioni d'esame conoscenza di altre lingue conoscenze informatiche orientamento stage/tirocinio mobilita internazionale,,historical LM-92 pilot fragment
SF0236,SD0095,list_item,16,Piani di studio,piani di studio,,historical LM-92 pilot fragment
SF0237,SD0095,list_item,17,Insegnamenti,insegnamenti,,historical LM-92 pilot fragment
SF0238,SD0095,list_item,18,Commissioni d'esame,commissioni d'esame,,historical LM-92 pilot fragment
SF0239,SD0095,list_item,19,Conoscenza di altre lingue,conoscenza di altre lingue,,historical LM-92 pilot fragment
SF0240,SD0095,list_item,20,Conoscenze informatiche,conoscenze informatiche,,historical LM-92 pilot fragment
SF0241,SD0095,list_item,21,Orientamento,orientamento,,historical LM-92 pilot fragment
SF0242,SD0095,list_item,22,Stage/Tirocinio,stage/tirocinio,,historical LM-92 pilot fragment
SF0243,SD0095,list_item,23,Mobilità internazionale,mobilita internazionale,,historical LM-92 pilot fragment
SF0244,SD0095,list_item,24,Docenti Docenti,docenti docenti,,historical LM-92 pilot fragment
SF0245,SD0096,title,1,STRATEGIE E TECNICHE DELLA COMUNICAZIONE |,strategie e tecniche della comunicazione |,,historical LM-92 pilot fragment
SF0246,SD0096,paragraph,2,"La società dell’informazione, l’economia della conoscenza, la cultura dei dati, il design di interfacce, servizi e artefatti tecnologici, i linguaggi della comunicazione istituzionale, il giornalismo all’epoca dei social media, la pubblicità digitale. Sono queste alcune delle parole chiave che stanno alla base di questo corso di laurea, che invita gli studenti ad intraprendere un percorso di esplorazione e formazione per orientarsi e sapersi muovere in un ambiente mediale in rapida trasformazione. Il corso propone una formazione teorica e pratica alle strategie e le tecniche della comunicazione, declinata secondo tre diversi curricula:","la societa dell’informazione, l’economia della conoscenza, la cultura dei dati, il design di interfacce, servizi e artefatti tecnologici, i linguaggi della comunicazione istituzionale, il giornalismo all’epoca dei social media, la pubblicita digitale. sono queste alcune delle parole chiave che stanno alla base di questo corso di laurea, che invita gli studenti ad intraprendere un percorso di esplorazione e formazione per orientarsi e sapersi muovere in un ambiente mediale in rapida trasformazione. il corso propone una formazione teorica e pratica alle strategie e le tecniche della comunicazione, declinata secondo tre diversi curricula:",,historical LM-92 pilot fragment
SF0247,SD0096,paragraph,3,(a) Tecnologie e metodi per l’Experience Design;,(a) tecnologie e metodi per l’experience design;,,historical LM-92 pilot fragment
SF0248,SD0096,paragraph,4,(b) Comunicazione per le industrie creative e culturali;,(b) comunicazione per le industrie creative e culturali;,,historical LM-92 pilot fragment
SF0249,SD0096,paragraph,5,(c) Comunicazione strategica per i mercati e le istituzioni.,(c) comunicazione strategica per i mercati e le istituzioni.,,historical LM-92 pilot fragment
SF0250,SD0096,paragraph,6,Classe: LM-92 Classe delle lauree magistrali in teoria della comunicazione,classe: lm-92 classe delle lauree magistrali in teoria della comunicazione,,historical LM-92 pilot fragment
SF0251,SD0096,paragraph,7,Durata: 2 anni. Crediti formativi: 120,durata: 2 anni. crediti formativi: 120,,historical LM-92 pilot fragment
SF0252,SD0096,paragraph,8,Assistente Virtuale del corso,assistente virtuale del corso,,historical LM-92 pilot fragment
SF0253,SD0096,paragraph,9,Presentazione curricula 2024/25,presentazione curricula 2024/25,,historical LM-92 pilot fragment
SF0254,SD0096,paragraph,10,"Ufficio servizi agli studenti - Via Mattioli Via P.A. Mattioli, 10 53100 Siena - Italia Tel. +39 0577 235540 (sportello telefonico dal lunedì al venerdì, dalle ore 12 alle ore 13) Email: studenti.mattioli@unisi.it","ufficio servizi agli studenti - via mattioli via p.a. mattioli, 10 53100 siena - italia tel. +39 0577 235540 (sportello telefonico dal lunedi al venerdi, dalle ore 12 alle ore 13) email: studenti.mattioli@unisi.it",,historical LM-92 pilot fragment
SF0255,SD0096,paragraph,11,"Rettorato, via Banchi di Sotto 55, 53100 Siena ITALIA P.IVA 00273530527 | C.F. 80002070524 | Caselle Pec: Posta Elettronica Certificata Contatti: urp@unisi.it - URP - Ufficio Relazioni con il Pubblico Tel. 0577 235555 (dal lunedì al venerdì dalle 9.30 alle 10.30)","rettorato, via banchi di sotto 55, 53100 siena italia p.iva 00273530527 | c.f. 80002070524 | caselle pec: posta elettronica certificata contatti: urp@unisi.it - urp - ufficio relazioni con il pubblico tel. 0577 235555 (dal lunedi al venerdi dalle 9.30 alle 10.30)",,historical LM-92 pilot fragment
SF0256,SD0096,list_item,12,Il corso Presentazione Requisiti di ammissione Sbocchi professionali Cosa si studia Strutture e sede Contatti Comitato per la didattica Regolamento didattico AQ-Didattica Tutorato Tutti i corsi del Dipartimento,il corso presentazione requisiti di ammissione sbocchi professionali cosa si studia strutture e sede contatti comitato per la didattica regolamento didattico aq-didattica tutorato tutti i corsi del dipartimento,,historical LM-92 pilot fragment
SF0257,SD0096,list_item,13,Presentazione,presentazione,,historical LM-92 pilot fragment
SF0258,SD0096,list_item,14,Requisiti di ammissione,requisiti di ammissione,,historical LM-92 pilot fragment
SF0259,SD0096,list_item,15,Sbocchi professionali,sbocchi professionali,,historical LM-92 pilot fragment
SF0260,SD0096,list_item,16,Cosa si studia,cosa si studia,,historical LM-92 pilot fragment
SF0261,SD0096,list_item,17,Strutture e sede,strutture e sede,,historical LM-92 pilot fragment
SF0262,SD0096,list_item,18,Contatti,contatti,,historical LM-92 pilot fragment
SF0263,SD0096,list_item,19,Comitato per la didattica,comitato per la didattica,,historical LM-92 pilot fragment
SF0264,SD0096,list_item,20,Regolamento didattico,regolamento didattico,,historical LM-92 pilot fragment
SF0265,SD0096,list_item,21,AQ-Didattica,aq-didattica,,historical LM-92 pilot fragment
SF0266,SD0096,list_item,22,Tutorato,tutorato,,historical LM-92 pilot fragment
SF0267,SD0096,list_item,23,Tutti i corsi del Dipartimento,tutti i corsi del dipartimento,,historical LM-92 pilot fragment
SF0268,SD0096,list_item,24,Iscriversi Orientamento Iscriversi Test di lingua inglese Tasse Bandi e borse,iscriversi orientamento iscriversi test di lingua inglese tasse bandi e borse,,historical LM-92 pilot fragment
SF0269,SD0097,title,1,Homepage - Corso di laurea magistrale inComunicazione e Culture dei media - UniversitÃ degli Studi di Torino,homepage - corso di laurea magistrale incomunicazione e culture dei media - universita degli studi di torino,,historical LM-92 pilot fragment
SF0270,SD0097,heading,2,Auguri a tutta la comunitÃ universitaria,auguri a tutta la comunita universitaria,,historical LM-92 pilot fragment
SF0271,SD0097,heading,3,Mentors4u: candidature aperte,mentors4u: candidature aperte,,historical LM-92 pilot fragment
SF0272,SD0097,heading,4,per diventare Mentee,per diventare mentee,,historical LM-92 pilot fragment
SF0273,SD0097,heading,5,fino al 14 aprile 2026,fino al 14 aprile 2026,,historical LM-92 pilot fragment
SF0274,SD0097,heading,6,QS Subject Ranking,qs subject ranking,,historical LM-92 pilot fragment
SF0275,SD0097,heading,7,Eccellente posizionamento dei Corsi di laurea in Filosofia e Scienze dellâEducazione dellâUniversitÃ di Torino,eccellente posizionamento dei corsi di laurea in filosofia e scienze dellaeducazione dellauniversita di torino,,historical LM-92 pilot fragment
SF0276,SD0097,heading,8,"Summer School per docenti (Bologna, 10â12 luglio 2026)","summer school per docenti (bologna, 10a12 luglio 2026)",,historical LM-92 pilot fragment
SF0277,SD0097,heading,9,JOB PLACEMENT INCONTRA VITAMINA C14 Aprile 2026,job placement incontra vitamina c14 aprile 2026,,historical LM-92 pilot fragment
SF0278,SD0097,heading,10,BANDO PER STUDENTI,bando per studenti,,historical LM-92 pilot fragment
SF0279,SD0097,heading,11,COLLABORAZIONI A TEMPO PARZIALE â A.A. 2026 - 2027,collaborazioni a tempo parziale a a.a. 2026 - 2027,,historical LM-92 pilot fragment
SF0280,SD0097,heading,12,Scadenza: 13 aprile 2026 alle 12 a.m.,scadenza: 13 aprile 2026 alle 12 a.m.,,historical LM-92 pilot fragment
SF0281,SD0098,title,1,CORSO DI LAUREA MAGISTRALE (D.M. 1649/2023) in DIGITAL HUMANITIES - INTERACTIVE SYSTEMS AND DIGITAL MEDIA | UniGe | Università di Genova | Corsi di Studio UniGe,corso di laurea magistrale (d.m. 1649/2023) in digital humanities - interactive systems and digital media | unige | universita di genova | corsi di studio unige,,historical LM-92 pilot fragment
SF0282,SD0098,heading,2,Navigazione principale,navigazione principale,,historical LM-92 pilot fragment
SF0283,SD0098,heading,3,Breadcrumb,breadcrumb,,historical LM-92 pilot fragment
SF0284,SD0098,heading,4,DIGITAL HUMANITIES - INTERACTIVE SYSTEMS AND DIGITAL MEDIA,digital humanities - interactive systems and digital media,,historical LM-92 pilot fragment
SF0285,SD0098,heading,5,Panoramica,panoramica,,historical LM-92 pilot fragment
SF0286,SD0098,heading,6,Informazioni 2026/2027,informazioni 2026/2027,,historical LM-92 pilot fragment
SF0287,SD0098,heading,7,News ed eventi,news ed eventi,,historical LM-92 pilot fragment
SF0288,SD0098,heading,8,Servizio civile universale 2026,servizio civile universale 2026,,historical LM-92 pilot fragment
SF0289,SD0098,heading,9,"Ciclo di incontri con mondo del lavoro e alumni - CONDIVISO: CREATIVITÀ, TECNOLOGIA E COWORKING NEI PROGETTI DI INNOVAZIONE DIGITALE","ciclo di incontri con mondo del lavoro e alumni - condiviso: creativita, tecnologia e coworking nei progetti di innovazione digitale",,historical LM-92 pilot fragment
SF0290,SD0098,heading,10,"Ciclo di incontri con mondo del lavoro e alumni - IMPATTO DELL'AI E DELLE NUOVE TECNOLOGIE SU MEDIA, COMUNICAZIONE E MARKETING","ciclo di incontri con mondo del lavoro e alumni - impatto dell'ai e delle nuove tecnologie su media, comunicazione e marketing",,historical LM-92 pilot fragment
SF0291,SD0098,heading,11,Il corso in breve,il corso in breve,,historical LM-92 pilot fragment
SF0292,SD0098,heading,12,Presentazione,presentazione,,historical LM-92 pilot fragment
SF0293,SD0099,title,1,Teoria e tecnologia della comunicazione | Università degli Studi di Milano-Bicocca,teoria e tecnologia della comunicazione | universita degli studi di milano-bicocca,,historical LM-92 pilot fragment
SF0294,SD0099,heading,2,Teoria e tecnologia della comunicazione,teoria e tecnologia della comunicazione,,historical LM-92 pilot fragment
SF0295,SD0099,heading,3,Navigazione rapida corso di laurea,navigazione rapida corso di laurea,,historical LM-92 pilot fragment
SF0296,SD0099,heading,4,collegamenti rapidi,collegamenti rapidi,,historical LM-92 pilot fragment
SF0297,SD0099,heading,5,Ammissione e iscrizione,ammissione e iscrizione,,historical LM-92 pilot fragment
SF0298,SD0099,paragraph,6,Torna all'elenco,torna all'elenco,,historical LM-92 pilot fragment
SF0299,SD0099,paragraph,7,La comunicazione è sempre più mediata dalla tecnologia: il contributo delle discipline psico-linguistiche si integra con quelli del design e deve considerare la natura interattiva e pervasiva degli strumenti ICT tramite i quali ha luogo.,la comunicazione e sempre piu mediata dalla tecnologia: il contributo delle discipline psico-linguistiche si integra con quelli del design e deve considerare la natura interattiva e pervasiva degli strumenti ict tramite i quali ha luogo.,,historical LM-92 pilot fragment
SF0300,SD0099,paragraph,8,"Il corso di laurea magistrale in Teoria e Tecnologia della Comunicazione ha una natura interdisciplinare che prevede percorsi didattici e scientifici progettati e gestiti in modo integrato dal Dipartimento di Informatica, Sistemistica e Comunicazione e dal Dipartimento di Psicologia. Gli studenti hanno modo di acquisire basi metodologiche, tecniche e scientifiche, sviluppare attività progettuali di gruppo, approfondire competenze di analisi, di progettazione di servizi interattivi, ideare ed attuare campagne di comunicazione con l’utilizzo di strumenti ICT.","il corso di laurea magistrale in teoria e tecnologia della comunicazione ha una natura interdisciplinare che prevede percorsi didattici e scientifici progettati e gestiti in modo integrato dal dipartimento di informatica, sistemistica e comunicazione e dal dipartimento di psicologia. gli studenti hanno modo di acquisire basi metodologiche, tecniche e scientifiche, sviluppare attivita progettuali di gruppo, approfondire competenze di analisi, di progettazione di servizi interattivi, ideare ed attuare campagne di comunicazione con l’utilizzo di strumenti ict.",,historical LM-92 pilot fragment
SF0301,SD0099,paragraph,9,"Il carattere fortemente interdisciplinare del corso rispecchia fortemente le esigenze del mercato del lavoro, che richiede figure professionali con competenze sempre più trasversali, che vertono sulla comunicazione come processo cognitivo e sociale mediato o supportato dalla tecnologia.","il carattere fortemente interdisciplinare del corso rispecchia fortemente le esigenze del mercato del lavoro, che richiede figure professionali con competenze sempre piu trasversali, che vertono sulla comunicazione come processo cognitivo e sociale mediato o supportato dalla tecnologia.",,historical LM-92 pilot fragment
SF0302,SD0099,paragraph,10,"Gli sbocchi professionali per i laureati in Teoria e Tecnologia della comunicazione sono quindi molto vari e differenti: si va dallo user experience designer, al web content manager, al progettista di servizi di comunicazione, all’ideatore di campagne di marketing. Gli ambiti di impiego spaziano dalle agenzie di comunicazione, alla stampa, radio e tv, alle società di digital marketing.","gli sbocchi professionali per i laureati in teoria e tecnologia della comunicazione sono quindi molto vari e differenti: si va dallo user experience designer, al web content manager, al progettista di servizi di comunicazione, all’ideatore di campagne di marketing. gli ambiti di impiego spaziano dalle agenzie di comunicazione, alla stampa, radio e tv, alle societa di digital marketing.",,historical LM-92 pilot fragment
SF0303,SD0099,paragraph,11,New application platform for candidates with foreign qualifications,new application platform for candidates with foreign qualifications,,historical LM-92 pilot fragment
SF0304,SD0099,paragraph,12,Collegamenti utili,collegamenti utili,,historical LM-92 pilot fragment
SF0305,SD0099,paragraph,13,tutti i contenuti per scoprire e studiare in Bicocca,tutti i contenuti per scoprire e studiare in bicocca,,historical LM-92 pilot fragment
SF0306,SD0099,paragraph,14,"© 2025 Università degli Studi di Milano-Bicocca Piazza dell'Ateneo Nuovo, 1 - 20126, Milano Casella PEC: [email protected] P.I. 12621570154 | Contattaci","© 2025 universita degli studi di milano-bicocca piazza dell'ateneo nuovo, 1 - 20126, milano casella pec: [email protected] p.i. 12621570154 | contattaci",,historical LM-92 pilot fragment
SF0307,SD0099,list_item,15,Segreterie online,segreterie online,,historical LM-92 pilot fragment
SF0308,SD0099,list_item,16,MyUniMiB-staff,myunimib-staff,,historical LM-92 pilot fragment
SF0309,SD0099,list_item,17,e-learning,e-learning,,historical LM-92 pilot fragment
SF0310,SD0099,list_item,18,Modifica scheda rubrica,modifica scheda rubrica,,historical LM-92 pilot fragment
SF0311,SD0099,list_item,19,Calendario lezioni/esami,calendario lezioni/esami,,historical LM-92 pilot fragment
SF0312,SD0099,list_item,20,Webmail,webmail,,historical LM-92 pilot fragment
SF0313,SD0099,list_item,21,Dipartimenti,dipartimenti,,historical LM-92 pilot fragment
SF0314,SD0099,list_item,22,Comunicazione,comunicazione,,historical LM-92 pilot fragment
SF0315,SD0099,list_item,23,Biblioteca,biblioteca,,historical LM-92 pilot fragment
SF0316,SD0099,list_item,24,Dove siamo,dove siamo,,historical LM-92 pilot fragment
SF0317,SD0100,title,1,"Editoria, culture della comunicazione e della moda | Università degli Studi di Milano Statale","editoria, culture della comunicazione e della moda | universita degli studi di milano statale",,historical LM-92 pilot fragment
SF0318,SD0100,heading,2,Language switcher,language switcher,,historical LM-92 pilot fragment
SF0319,SD0100,heading,3,Profili,profili,,historical LM-92 pilot fragment
SF0320,SD0100,heading,4,Main navigation,main navigation,,historical LM-92 pilot fragment
SF0321,SD0100,heading,5,I corsi,i corsi,,historical LM-92 pilot fragment
SF0322,SD0100,heading,6,Main navigation,main navigation,,historical LM-92 pilot fragment
SF0323,SD0100,heading,7,Top navbar,top navbar,,historical LM-92 pilot fragment
SF0324,SD0100,heading,8,Ammissione,ammissione,,historical LM-92 pilot fragment
SF0325,SD0100,heading,9,A.A. 2026/2027,a.a. 2026/2027,,historical LM-92 pilot fragment
SF0326,SD0100,heading,10,A.A. 2025/2026,a.a. 2025/2026,,historical LM-92 pilot fragment
SF0327,SD0100,heading,11,A.A. 2024/2025,a.a. 2024/2025,,historical LM-92 pilot fragment
SF0328,SD0100,heading,12,A.A. 2023/2024,a.a. 2023/2024,,historical LM-92 pilot fragment
SF0329,SD0101,title,1,[SU03] SCIENZE E TECNICHE DELLA COMUNICAZIONE | Università degli studi dell'Insubria,[su03] scienze e tecniche della comunicazione | universita degli studi dell'insubria,,historical LM-92 pilot fragment
SF0330,SD0101,heading,2,SCIENZE E TECNICHE DELLA COMUNICAZIONE,scienze e tecniche della comunicazione,,historical LM-92 pilot fragment
SF0331,SD0101,heading,3,Descrizione del corso,descrizione del corso,,historical LM-92 pilot fragment
SF0332,SD0101,heading,4,Cosa ti occorre sapere,cosa ti occorre sapere,,historical LM-92 pilot fragment
SF0333,SD0101,heading,5,Percorsi formativi e programmi,percorsi formativi e programmi,,historical LM-92 pilot fragment
SF0334,SD0101,heading,6,Opportunità e agevolazioni,opportunita e agevolazioni,,historical LM-92 pilot fragment
SF0335,SD0101,heading,7,Iscriversi,iscriversi,,historical LM-92 pilot fragment
SF0336,SD0101,heading,8,Frequentare,frequentare,,historical LM-92 pilot fragment
SF0337,SD0101,heading,9,"Studiare, sostenere gli esami e laurearsi","studiare, sostenere gli esami e laurearsi",,historical LM-92 pilot fragment
SF0338,SD0101,heading,10,Servizi per gli studenti,servizi per gli studenti,,historical LM-92 pilot fragment
SF0339,SD0101,heading,11,Organi del corso e rappresentanti,organi del corso e rappresentanti,,historical LM-92 pilot fragment
